nn,kernel,pc,acc,
14,rbf,30,0.7455470738,0.796437659
14,poly,3,0.6666666667,
14,poly,6,0.7837150127,
14,poly,9,0.7582697201,
14,poly,12,0.7760814249,
14,poly,15,0.7811704835,
14,poly,18,0.7608142494,
14,poly,21,0.7608142494,
14,poly,24,0.7735368957,
14,poly,27,0.7608142494,
14,poly,30,0.7709923664,0.7837150127
14,sigmoid,3,0.6768447837,
14,sigmoid,6,0.7811704835,
14,sigmoid,9,0.7913486005,
14,sigmoid,12,0.7837150127,
14,sigmoid,15,0.7684478372,
14,sigmoid,18,0.7735368957,
14,sigmoid,21,0.7608142494,
14,sigmoid,24,0.737913486,
14,sigmoid,27,0.7226463104,
14,sigmoid,30,0.7022900763,0.7913486005
14,cosine,3,0.6666666667,
14,cosine,6,0.7938931298,
14,cosine,9,0.8117048346,
14,cosine,12,0.8142493639,
14,cosine,15,0.7735368957,
14,cosine,18,0.7735368957,
14,cosine,21,0.7608142494,
14,cosine,24,0.7506361323,
14,cosine,27,0.7531806616,
14,cosine,30,0.7582697201,0.8142493639
17,linear,3,0.679389313,
17,linear,6,0.7760814249,
17,linear,9,0.7837150127,
17,linear,12,0.7633587786,
17,linear,15,0.7608142494,
17,linear,18,0.7531806616,
17,linear,21,0.7608142494,
17,linear,24,0.7404580153,
17,linear,27,0.7251908397,
17,linear,30,0.7226463104,0.7837150127
17,rbf,3,0.6564885496,
17,rbf,6,0.7659033079,
17,rbf,9,0.7506361323,
17,rbf,12,0.7888040712,
17,rbf,15,0.7531806616,
17,rbf,18,0.7506361323,
17,rbf,21,0.7659033079,
17,rbf,24,0.7404580153,
17,rbf,27,0.7430025445,
17,rbf,30,0.7302798982,0.7888040712
17,poly,3,0.6768447837,
17,poly,6,0.7735368957,
17,poly,9,0.7480916031,
17,poly,12,0.7837150127,
17,poly,15,0.7760814249,
17,poly,18,0.7582697201,
17,poly,21,0.7684478372,
17,poly,24,0.7582697201,
17,poly,27,0.7506361323,
17,poly,30,0.7480916031,0.7837150127
17,sigmoid,3,0.6844783715,
17,sigmoid,6,0.7760814249,
17,sigmoid,9,0.796437659,
17,sigmoid,12,0.7735368957,
17,sigmoid,15,0.7684478372,
17,sigmoid,18,0.7582697201,
17,sigmoid,21,0.7506361323,
17,sigmoid,24,0.7480916031,
17,sigmoid,27,0.7251908397,
17,sigmoid,30,0.7328244275,0.796437659
17,cosine,3,0.679389313,
17,cosine,6,0.7811704835,
17,cosine,9,0.8142493639,
17,cosine,12,0.7786259542,
17,cosine,15,0.7659033079,
17,cosine,18,0.7557251908,
17,cosine,21,0.7735368957,
17,cosine,24,0.7506361323,
17,cosine,27,0.7404580153,
17,cosine,30,0.7480916031,0.8142493639
20,linear,3,0.6921119593,
20,linear,6,0.7735368957,
20,linear,9,0.7888040712,
20,linear,12,0.7582697201,
20,linear,15,0.7506361323,
20,linear,18,0.7608142494,
20,linear,21,0.7353689567,
20,linear,24,0.7404580153,
20,linear,27,0.727735369,
20,linear,30,0.7099236641,0.7888040712
20,rbf,3,0.6743002545,
20,rbf,6,0.7735368957,
20,rbf,9,0.7633587786,
20,rbf,12,0.7684478372,
20,rbf,15,0.7480916031,
20,rbf,18,0.7353689567,
20,rbf,21,0.737913486,
20,rbf,24,0.7455470738,
20,rbf,27,0.7430025445,
20,rbf,30,0.7404580153,0.7735368957
20,poly,3,0.68956743,
20,poly,6,0.7430025445,
20,poly,9,0.7455470738,
20,poly,12,0.7760814249,
20,poly,15,0.7735368957,
20,poly,18,0.7506361323,
20,poly,21,0.7506361323,
20,poly,24,0.7531806616,
20,poly,27,0.7582697201,
20,poly,30,0.7608142494,0.7760814249
20,sigmoid,3,0.6819338422,
20,sigmoid,6,0.7684478372,
20,sigmoid,9,0.796437659,
20,sigmoid,12,0.7684478372,
20,sigmoid,15,0.7557251908,
20,sigmoid,18,0.7582697201,
20,sigmoid,21,0.7506361323,
20,sigmoid,24,0.7455470738,
20,sigmoid,27,0.7328244275,
20,sigmoid,30,0.7175572519,0.796437659
20,cosine,3,0.6692111959,
20,cosine,6,0.786259542,
20,cosine,9,0.7989821883,
20,cosine,12,0.7582697201,
20,cosine,15,0.7709923664,
20,cosine,18,0.7709923664,
20,cosine,21,0.7557251908,
20,cosine,24,0.737913486,
20,cosine,27,0.7302798982,
20,cosine,30,0.737913486,0.7989821883
